530
Dataset measured at BL04B2
22.55 1.00394 0.0887355 0.417518 0.493747 
22.6 0.938465 0.0884368 0.417108 0.494455 
22.65 0.91335 0.0881384 0.416698 0.495164 
22.7 0.98895 0.0878402 0.416286 0.495874 
22.75 1.03822 0.0875423 0.415872 0.496586 
22.8 1.05922 0.0872446 0.415457 0.497298 
22.85 0.987425 0.0869472 0.415041 0.498011 
22.9 1.00922 0.0866501 0.414624 0.498726 
22.95 1.10031 0.0863533 0.414205 0.499441 
23 1.03427 0.0860568 0.413785 0.500158 
23.05 0.962448 0.0857607 0.413364 0.500875 
23.1 0.999971 0.085465 0.412942 0.501593 
23.15 0.839017 0.0851696 0.412518 0.502312 
23.2 0.980389 0.0848746 0.412093 0.503032 
23.25 1.15721 0.0845801 0.411667 0.503753 
23.3 1.0156 0.0842859 0.41124 0.504474 
23.35 0.987444 0.0839922 0.410812 0.505196 
23.4 1.07152 0.083699 0.410382 0.505919 
23.45 1.12301 0.0834062 0.409952 0.506642 
23.5 1.20293 0.0831139 0.40952 0.507366 
23.55 1.12168 0.0828221 0.409088 0.50809 
23.6 1.16427 0.0825308 0.408654 0.508815 
23.65 1.15794 0.0822401 0.40822 0.50954 
23.7 1.24751 0.0819498 0.407784 0.510266 
23.75 1.03368 0.0816602 0.407347 0.510993 
23.8 1.07013 0.081371 0.40691 0.511719 
23.85 0.962747 0.0810825 0.406471 0.512446 
23.9 1.04234 0.0807945 0.406032 0.513174 
23.95 1.0518 0.0805071 0.405591 0.513901 
24 1.08158 0.0802204 0.40515 0.514629 
24.05 1.04671 0.0799342 0.404708 0.515358 
24.1 1.03085 0.0796487 0.404265 0.516086 
24.15 1.08054 0.0793638 0.403821 0.516815 
24.2 1.04407 0.0790796 0.403377 0.517544 
24.25 0.952539 0.078796 0.402932 0.518273 
24.3 0.975416 0.0785131 0.402485 0.519001 
24.35 0.997112 0.0782309 0.402039 0.519731 
24.4 0.90839 0.0779494 0.401591 0.52046 
24.45 1.01699 0.0776685 0.401143 0.521189 
24.5 0.857732 0.0773884 0.400694 0.521918 
24.55 0.971716 0.077109 0.400244 0.522647 
24.6 0.845186 0.0768303 0.399794 0.523376 
24.65 0.8549 0.0765523 0.399343 0.524105 
24.7 0.976934 0.0762751 0.398891 0.524834 
24.75 1.03683 0.0759986 0.398439 0.525563 
24.8 0.845811 0.0757229 0.397986 0.526291 
24.85 0.88779 0.075448 0.397532 0.52702 
24.9 0.965972 0.0751738 0.397078 0.527748 
24.95 0.886423 0.0749004 0.396624 0.528476 
25 0.930298 0.0746278 0.396169 0.529203 
25.05 1.01715 0.074356 0.395713 0.529931 
25.1 1.00556 0.0740849 0.395257 0.530658 
25.15 1.20007 0.0738147 0.394801 0.531384 
25.2 1.01272 0.0735453 0.394344 0.532111 
25.25 1.17585 0.0732767 0.393886 0.532837 
25.3 1.12324 0.0730089 0.393429 0.533562 
25.35 1.20153 0.072742 0.39297 0.534288 
25.4 1.17467 0.0724759 0.392512 0.535012 
25.45 1.26695 0.0722106 0.392053 0.535737 
25.5 1.23303 0.0719461 0.391593 0.536461 
25.55 1.14944 0.0716826 0.391134 0.537184 
25.6 1.1957 0.0714198 0.390673 0.537907 
25.65 1.07139 0.0711579 0.390213 0.538629 
25.7 1.00293 0.0708969 0.389752 0.539351 
25.75 1.13317 0.0706367 0.389291 0.540072 
25.8 1.09862 0.0703774 0.38883 0.540792 
25.85 0.977319 0.070119 0.388369 0.541512 
25.9 0.892502 0.0698615 0.387907 0.542232 
25.95 1.27095 0.0696048 0.387445 0.54295 
26 0.862341 0.069349 0.386983 0.543668 
26.05 0.910382 0.0690941 0.38652 0.544386 
26.1 0.801901 0.06884 0.386058 0.545102 
26.15 0.984676 0.0685869 0.385595 0.545818 
26.2 0.979116 0.0683346 0.385132 0.546533 
26.25 0.958298 0.0680833 0.384669 0.547248 
